epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.257,1.38715,2.81155,1.51035,1,0.39785,0.51133,0.32329,1.11164,2.95233,1.24433,0.00028339,0.00028339,0.00028339
2,218.268,1.31338,1.99046,1.42024,1,0.27945,0.60746,0.40684,1.26057,2.96457,1.33849,0.000577674,0.000577674,0.000577674
3,329.93,1.25298,1.82711,1.35937,1,0.09447,0.2182,0.14851,1.35566,3.7426,1.61293,0.000866017,0.000866017,0.000866017
