epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1500.77,1.20681,1.32656,1.36279,0.77935,0.63444,0.70928,0.5456,1.18178,1.6314,1.47106,0.00138644,0.00138644,0.00138644
19,1580.51,1.18043,1.26415,1.39176,0.6492,0.64352,0.67173,0.46617,1.36128,1.70735,1.5605,0.00136994,0.00136994,0.00136994
20,1660.84,1.13063,1.20065,1.32357,0.81473,0.65741,0.70087,0.51653,1.21479,1.60576,1.48786,0.00135344,0.00135344,0.00135344
21,1743,1.09581,1.16941,1.30759,0.8701,0.67771,0.71468,0.54092,1.09721,1.24913,1.43386,0.00133693,0.00133693,0.00133693
22,1823.47,1.13796,1.20767,1.34239,0.85018,0.66961,0.72417,0.53699,1.17436,1.36254,1.46284,0.00132043,0.00132043,0.00132043
23,1903.56,1.15416,1.26666,1.35783,0.74088,0.68519,0.72918,0.50519,1.28057,1.44706,1.56204,0.00130393,0.00130393,0.00130393
24,1986.99,1.03788,1.1568,1.27442,0.93807,0.65278,0.7253,0.51417,1.13252,1.34807,1.45112,0.00128742,0.00128742,0.00128742
25,2068.45,1.02658,1.11924,1.25302,0.74897,0.70833,0.74099,0.56728,1.03637,1.30818,1.38144,0.00127092,0.00127092,0.00127092
26,2147.19,1.05058,1.09601,1.25574,0.83238,0.68981,0.74043,0.56599,0.99253,1.13171,1.34358,0.00125442,0.00125442,0.00125442
27,2227.13,1.04389,1.06563,1.27674,0.81365,0.69446,0.74419,0.57379,1.0895,1.2407,1.42072,0.00123791,0.00123791,0.00123791
28,2309.82,0.99261,1.06457,1.24409,0.94453,0.62269,0.69657,0.55218,1.21057,1.40806,1.49386,0.00122141,0.00122141,0.00122141
29,2389.7,1.10062,1.12125,1.35419,0.90387,0.6713,0.74203,0.57604,1.11732,1.11533,1.41694,0.00120491,0.00120491,0.00120491
30,2470.35,1.03252,1.08604,1.28013,0.93352,0.6713,0.75161,0.57925,1.08566,1.14796,1.43313,0.0011884,0.0011884,0.0011884
31,2550.29,1.02022,1.02918,1.28395,0.82481,0.70833,0.77119,0.56631,1.23454,1.21816,1.58532,0.0011719,0.0011719,0.0011719
32,2633.68,1.04594,1.03199,1.27893,0.8844,0.66898,0.73476,0.57245,1.06,1.20694,1.45604,0.0011554,0.0011554,0.0011554
33,2710.97,1.03946,1.0359,1.30002,0.8656,0.66667,0.7316,0.56721,1.08987,1.31634,1.47132,0.00113889,0.00113889,0.00113889
34,2793.28,0.99936,1.00364,1.24729,0.81083,0.73148,0.76686,0.57732,1.00891,0.98148,1.44363,0.00112239,0.00112239,0.00112239
35,2874.72,0.96021,1.02937,1.2224,0.79814,0.77778,0.77816,0.58078,1.10297,0.98039,1.49617,0.00110589,0.00110589,0.00110589
36,2957.5,1.03435,1.0504,1.26981,0.81015,0.69635,0.75336,0.56002,1.18236,1.04475,1.51321,0.00108938,0.00108938,0.00108938
37,3037.97,1.07801,1.14533,1.31583,0.73142,0.7825,0.77936,0.58022,1.1302,1.05702,1.47695,0.00107288,0.00107288,0.00107288
38,3118.18,0.99871,0.97426,1.25633,0.93613,0.67593,0.75077,0.55749,1.13512,1.07148,1.42992,0.00105638,0.00105638,0.00105638
39,3200.89,0.91459,0.94883,1.19439,0.77652,0.74323,0.75718,0.53121,1.23716,1.11329,1.47523,0.00103987,0.00103987,0.00103987
40,3278.39,0.98591,0.97637,1.23485,0.79006,0.68981,0.71173,0.53536,1.24183,1.12884,1.50522,0.00102337,0.00102337,0.00102337
41,3361.22,0.95262,0.98048,1.22927,0.90744,0.68519,0.74766,0.58016,1.12221,1.00558,1.44864,0.00100687,0.00100687,0.00100687
42,3442.56,0.95048,0.92365,1.22067,0.82766,0.71296,0.74134,0.5816,1.0784,0.99817,1.42618,0.000990365,0.000990365,0.000990365
43,3522.62,0.92329,0.88152,1.19119,0.82199,0.73148,0.7495,0.59705,1.05783,1.05633,1.44955,0.000973861,0.000973861,0.000973861
44,3606.55,1.03036,1.03557,1.29458,0.73512,0.74537,0.75251,0.59699,1.00962,1.0525,1.39463,0.000957358,0.000957358,0.000957358
45,3687.22,0.91171,0.89745,1.19738,0.79613,0.73148,0.74738,0.59564,1.02186,1.07777,1.41467,0.000940855,0.000940855,0.000940855
46,3768.55,0.88047,0.89674,1.16033,0.85435,0.63426,0.68695,0.46965,1.19299,1.27792,1.51591,0.000924352,0.000924352,0.000924352
47,3848.74,1.01459,1.01844,1.26062,0.7305,0.71759,0.73381,0.56224,1.05363,1.15016,1.40872,0.000907848,0.000907848,0.000907848
48,3932.33,0.93896,0.96362,1.21385,0.86066,0.71865,0.77404,0.5916,1.06882,0.9911,1.43909,0.000891345,0.000891345,0.000891345
49,4015.3,0.89828,0.89064,1.20581,0.872,0.72685,0.76667,0.57405,1.15715,0.98576,1.58269,0.000874842,0.000874842,0.000874842
50,4096.39,0.84983,0.82363,1.16396,0.84636,0.7037,0.76322,0.58096,1.09343,1.00005,1.44936,0.000858338,0.000858338,0.000858338
51,4177.44,0.90434,0.88313,1.20486,0.84123,0.6713,0.73123,0.55596,1.06204,1.00363,1.36869,0.000841835,0.000841835,0.000841835
52,4258.61,0.96831,0.93442,1.23905,0.75776,0.71759,0.73741,0.54151,1.12553,1.00338,1.44748,0.000825332,0.000825332,0.000825332
53,4338.64,0.90528,0.86049,1.188,0.77636,0.74537,0.77044,0.59283,1.05131,0.94455,1.37892,0.000808828,0.000808828,0.000808828
54,4422.27,0.90716,0.88126,1.20534,0.82964,0.69907,0.74167,0.58482,1.06376,0.99448,1.40689,0.000792325,0.000792325,0.000792325
55,4505.5,0.87766,0.81928,1.16676,0.78052,0.7037,0.74383,0.57791,1.08386,1.01645,1.51891,0.000775822,0.000775822,0.000775822
56,4592.65,0.86618,0.81978,1.14395,0.72128,0.71904,0.69725,0.52368,1.11136,1.17062,1.42348,0.000759318,0.000759318,0.000759318
57,4678.68,0.95736,0.93209,1.25148,0.68496,0.71759,0.69958,0.5375,1.01848,1.13755,1.37279,0.000742815,0.000742815,0.000742815
58,4760.32,0.85052,0.80104,1.14493,0.80684,0.70545,0.7473,0.5682,1.11121,1.02489,1.58318,0.000726312,0.000726312,0.000726312
59,4844.37,0.85244,0.83126,1.17036,0.80982,0.71296,0.7573,0.57394,1.07577,1.02198,1.46702,0.000709809,0.000709809,0.000709809
60,4924.24,0.88703,0.84451,1.17306,0.81497,0.73148,0.75837,0.60602,1.03337,0.9715,1.39981,0.000693305,0.000693305,0.000693305
61,5007.81,0.85516,0.88869,1.18355,0.80434,0.69907,0.71743,0.53805,1.0719,1.06886,1.43492,0.000676802,0.000676802,0.000676802
62,5089.11,0.89683,0.85106,1.19238,0.74361,0.76389,0.75787,0.59936,1.08248,0.92525,1.48293,0.000660299,0.000660299,0.000660299
63,5169.28,0.86495,0.84326,1.15558,0.75995,0.75065,0.76979,0.58008,1.093,0.9635,1.4803,0.000643795,0.000643795,0.000643795
64,5249.55,0.8671,0.81454,1.17536,0.8529,0.72222,0.77498,0.59085,1.05732,0.98578,1.40746,0.000627292,0.000627292,0.000627292
65,5334.53,0.80895,0.7772,1.12378,0.81388,0.73609,0.7758,0.60238,1.05611,0.9723,1.3948,0.000610789,0.000610789,0.000610789
66,5415.43,0.88628,0.85984,1.19309,0.77241,0.78704,0.78125,0.5908,1.05901,0.94679,1.42379,0.000594286,0.000594286,0.000594286
67,5496.16,0.84585,0.7818,1.16631,0.87403,0.72005,0.76112,0.601,1.04624,0.97582,1.42041,0.000577782,0.000577782,0.000577782
68,5578.94,0.81462,0.75467,1.13903,0.90906,0.69335,0.75153,0.60662,1.01679,0.97091,1.42223,0.000561279,0.000561279,0.000561279
69,5661.34,0.87784,0.85031,1.18402,0.75462,0.69907,0.7154,0.55223,1.05682,1.05994,1.38623,0.000544776,0.000544776,0.000544776
70,5744.86,0.80831,0.77977,1.12299,0.86219,0.68981,0.75728,0.60401,1.0078,0.98428,1.3787,0.000528272,0.000528272,0.000528272
71,5825.06,0.82091,0.77659,1.14748,0.86939,0.7037,0.74741,0.60522,0.96829,1.00642,1.34314,0.000511769,0.000511769,0.000511769
72,5905.62,0.79888,0.77337,1.13273,0.83191,0.70833,0.73188,0.58165,1.05505,1.00613,1.38992,0.000495266,0.000495266,0.000495266
73,5986.3,0.86038,0.78494,1.14844,0.80884,0.695,0.72413,0.56261,1.0861,1.05285,1.40467,0.000478762,0.000478762,0.000478762
74,6064.1,0.82904,0.77709,1.14454,0.88813,0.6826,0.73237,0.54597,1.11744,1.03523,1.45546,0.000462259,0.000462259,0.000462259
75,6147,0.78566,0.74606,1.12346,0.83409,0.70833,0.74504,0.57087,1.05469,0.96523,1.40111,0.000445756,0.000445756,0.000445756
76,6226.94,0.76428,0.71723,1.11506,0.7985,0.73843,0.76283,0.58527,1.03973,0.95356,1.37354,0.000429253,0.000429253,0.000429253
77,6307.04,0.78039,0.74107,1.12423,0.78314,0.71065,0.73834,0.57859,1.04453,0.97008,1.35292,0.000412749,0.000412749,0.000412749
78,6387.12,0.76547,0.70518,1.11635,0.87886,0.71296,0.75107,0.58688,1.03997,0.88639,1.36972,0.000396246,0.000396246,0.000396246
79,6471.03,0.76888,0.71096,1.10333,0.82548,0.73038,0.7755,0.60999,1.01486,0.87696,1.41969,0.000379743,0.000379743,0.000379743
80,6552.12,0.79428,0.75094,1.1305,0.82885,0.73148,0.77366,0.60929,1.02995,0.95775,1.42256,0.000363239,0.000363239,0.000363239
81,6633.9,0.85213,0.77732,1.18316,0.74702,0.77315,0.78161,0.61404,1.02573,0.94927,1.36235,0.000346736,0.000346736,0.000346736
82,6713.83,0.77125,0.70661,1.12075,0.7077,0.77083,0.77791,0.61036,1.01763,0.96508,1.38508,0.000330233,0.000330233,0.000330233
83,6797.18,0.74741,0.70549,1.12099,0.81024,0.66898,0.75699,0.5959,1.07254,0.94624,1.39529,0.000313729,0.000313729,0.000313729
84,6874.99,0.78202,0.71726,1.12787,0.8493,0.68432,0.74435,0.57824,1.0771,1.00067,1.40246,0.000297226,0.000297226,0.000297226
85,6954.8,0.76693,0.69803,1.12414,0.77653,0.7037,0.7281,0.56625,1.05941,1.01152,1.39851,0.000280723,0.000280723,0.000280723
86,7035.01,0.75584,0.69027,1.1053,0.80924,0.69907,0.73651,0.56502,1.05379,1.01161,1.4337,0.00026422,0.00026422,0.00026422
87,7114.95,0.80071,0.75671,1.15045,0.85427,0.68056,0.74922,0.5828,1.04358,0.96294,1.44956,0.000247716,0.000247716,0.000247716
88,7196.05,0.73684,0.67736,1.0902,0.84184,0.69907,0.76695,0.60032,1.03576,0.90342,1.44754,0.000231213,0.000231213,0.000231213
89,7276.21,0.70975,0.63296,1.09531,0.84217,0.72222,0.77492,0.59757,1.03677,0.89814,1.45134,0.00021471,0.00021471,0.00021471
90,7357.24,0.72314,0.66427,1.08038,0.83504,0.73148,0.77502,0.60036,1.03369,0.89059,1.4356,0.000198206,0.000198206,0.000198206
91,7437.39,0.67525,0.6176,1.07623,0.79764,0.75463,0.77531,0.60377,1.0145,0.89045,1.40747,0.000181703,0.000181703,0.000181703
92,7519.43,0.64932,0.57714,1.06146,0.76541,0.73333,0.76334,0.5977,0.97343,0.87806,1.38518,0.0001652,0.0001652,0.0001652
93,7602.78,0.65106,0.60794,1.07728,0.77972,0.73148,0.75939,0.58955,0.96087,0.89381,1.36389,0.000148696,0.000148696,0.000148696
94,7682.96,0.63495,0.58716,1.05611,0.78583,0.72644,0.75421,0.57719,0.97962,0.91165,1.37367,0.000132193,0.000132193,0.000132193
95,7765.59,0.65639,0.62651,1.07577,0.79046,0.72685,0.74973,0.57937,0.99881,0.9306,1.38256,0.00011569,0.00011569,0.00011569
96,7844.37,0.62222,0.56534,1.03229,0.80092,0.7159,0.74638,0.58648,1.00189,0.94579,1.38568,9.91865e-05,9.91865e-05,9.91865e-05
97,7926.63,0.64312,0.56048,1.04475,0.78185,0.74609,0.75774,0.5931,1.00118,0.94126,1.39863,8.26832e-05,8.26832e-05,8.26832e-05
98,8005.29,0.62037,0.56177,1.04131,0.79012,0.74537,0.7588,0.59578,0.99904,0.92851,1.41872,6.61799e-05,6.61799e-05,6.61799e-05
99,8087.91,0.61043,0.56152,1.02401,0.78123,0.74074,0.76094,0.5996,0.99467,0.93083,1.42437,4.96766e-05,4.96766e-05,4.96766e-05
100,8168.52,0.61698,0.54905,1.04445,0.78156,0.74074,0.75918,0.59294,0.99685,0.92889,1.42831,3.31733e-05,3.31733e-05,3.31733e-05
