epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3093,1.38715,2.81155,1.51035,1,0.39785,0.51133,0.32329,1.11164,2.95233,1.24433,0.00028339,0.00028339,0.00028339
2,173.481,1.31338,1.99046,1.42024,1,0.27945,0.60746,0.40684,1.26057,2.96457,1.33849,0.000577674,0.000577674,0.000577674
3,255.164,1.25298,1.82711,1.35937,1,0.09447,0.2182,0.14851,1.35566,3.7426,1.61293,0.000866017,0.000866017,0.000866017
4,337.997,1.37081,1.83344,1.43941,0.42516,0.02645,0.18439,0.08327,1.75566,3.70977,1.86537,0.00114842,0.00114842,0.00114842
5,423.749,1.38322,1.79635,1.47318,0.44035,0.33102,0.22023,0.1348,1.76379,3.74609,1.93075,0.00142488,0.00142488,0.00142488
6,509.324,1.2022,1.66275,1.33653,0.626,0.1875,0.27787,0.14086,1.78119,5.54994,1.85796,0.00158448,0.00158448,0.00158448
7,594.947,1.30144,1.70102,1.42315,0.58945,0.59259,0.60189,0.36365,1.5146,2.28963,1.64178,0.00156798,0.00156798,0.00156798
8,676.801,1.21814,1.49489,1.37867,0.48458,0.53857,0.46158,0.28465,1.48856,2.80619,1.60121,0.00155148,0.00155148,0.00155148
9,760.574,1.27992,1.57705,1.43816,0.74141,0.5787,0.60926,0.44292,1.39879,2.21137,1.56433,0.00153497,0.00153497,0.00153497
10,842.04,1.23144,1.47229,1.39078,0.70036,0.53241,0.60848,0.45621,1.28129,2.14054,1.48153,0.00151847,0.00151847,0.00151847
11,925.6,1.13168,1.33799,1.31996,0.69472,0.59635,0.61541,0.46063,1.26528,2.00242,1.51215,0.00150197,0.00150197,0.00150197
12,1007.01,1.20163,1.40329,1.38922,0.57683,0.59722,0.54234,0.35981,1.37058,2.46792,1.72156,0.00148546,0.00148546,0.00148546
13,1089.4,1.21088,1.37268,1.3819,0.76463,0.68981,0.72599,0.49045,1.3498,2.08115,1.6724,0.00146896,0.00146896,0.00146896
14,1174.13,1.22251,1.33625,1.37251,0.76295,0.6326,0.65537,0.46143,1.4615,1.79635,1.5765,0.00145246,0.00145246,0.00145246
15,1254.59,1.27635,1.43287,1.42623,0.88558,0.63623,0.69356,0.51716,1.24349,1.66329,1.5606,0.00143595,0.00143595,0.00143595
16,1338.65,1.19152,1.3362,1.37772,0.63027,0.65509,0.61811,0.45652,1.36555,1.77083,1.6389,0.00141945,0.00141945,0.00141945
17,1419.59,1.15677,1.31503,1.35953,0.76306,0.64624,0.69894,0.5489,1.21085,1.52728,1.47501,0.00140295,0.00140295,0.00140295
