epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.039,1.12902,2.81231,1.16341,0.01138,1,0.82858,0.64893,0.71474,3.04234,0.80224,0.00024,0.00024,0.00024
2,135.475,1.06797,1.59876,1.06935,0.00522,1,0.67734,0.57047,0.53999,3.14529,0.89798,0.00049505,0.00049505,0.00049505
3,200.3,1.01592,1.26376,1.11261,0.00522,1,0.05605,0.03518,1.09093,3.28732,1.16313,0.000744952,0.000744952,0.000744952
4,262.707,1.11321,1.19516,1.12596,0.01081,1,0.9648,0.71394,0.99071,2.92034,1.11782,0.000989706,0.000989706,0.000989706
5,329.173,0.9735,1.11114,1.05858,0.93633,0.91489,0.96668,0.76376,0.94073,1.90155,1.18974,0.00122931,0.00122931,0.00122931
6,396.962,1.06096,1.07082,1.10248,0.9521,0.8459,0.95245,0.76722,0.79955,1.98542,1.05492,0.00146377,0.00146377,0.00146377
7,467.115,1.00696,1.04486,1.07752,0.95789,0.48411,0.8151,0.6422,0.93896,2.34571,1.07172,0.00169308,0.00169308,0.00169308
8,532.899,1.03913,0.95819,1.14365,0.89088,0.8686,0.92856,0.69764,0.97089,1.58003,1.1523,0.0018614,0.0018614,0.0018614
9,601.985,1.01184,0.89284,1.09426,0.90906,0.93617,0.95471,0.70164,0.93951,1.28622,1.12631,0.0018416,0.0018416,0.0018416
10,669.748,1.06486,0.91258,1.13229,0.95088,0.80851,0.95906,0.75495,0.86092,1.13066,1.10984,0.0018218,0.0018218,0.0018218
11,738.227,0.96291,0.83327,1.09007,0.58715,0.55319,0.63341,0.40852,1.37887,1.58687,1.36181,0.001802,0.001802,0.001802
12,800.093,0.93068,0.8237,1.03817,0.9483,0.95745,0.97147,0.70348,0.98947,0.84874,1.15863,0.0017822,0.0017822,0.0017822
13,871.638,0.94157,0.75469,1.07221,0.95888,0.99236,0.97485,0.75519,0.90167,0.8279,1.1096,0.0017624,0.0017624,0.0017624
14,939.46,0.98316,0.73946,1.05732,0.68087,0.99869,0.80288,0.66567,0.82965,1.04893,1.07506,0.0017426,0.0017426,0.0017426
15,1004.64,0.90879,0.70086,1.03056,0.95532,0.90997,0.95587,0.75263,0.81983,0.93065,1.04138,0.0017228,0.0017228,0.0017228
16,1075.89,0.91333,0.69322,1.05555,0.95332,0.97872,0.97691,0.80862,0.71781,0.76482,1.03749,0.001703,0.001703,0.001703
17,1140.65,0.90588,0.67837,1.03745,0.95822,0.97604,0.96128,0.81048,0.71623,0.76334,1.05273,0.0016832,0.0016832,0.0016832
18,1201.6,0.89735,0.6424,1.04071,0.95313,0.86543,0.92564,0.78453,0.70244,0.89501,1.04999,0.0016634,0.0016634,0.0016634
19,1271.74,0.84728,0.60179,1.00273,0.93599,0.93348,0.94941,0.81496,0.67144,0.79873,1.01943,0.0016436,0.0016436,0.0016436
20,1341.96,0.86209,0.64249,1.01087,0.93577,0.97872,0.96561,0.80533,0.70754,0.77482,1.01853,0.0016238,0.0016238,0.0016238
21,1420.92,0.85381,0.61544,1.02456,0.95657,0.97872,0.97253,0.80384,0.69813,0.61797,1.03733,0.001604,0.001604,0.001604
22,1502.07,0.84947,0.56338,1.02929,0.95914,0.99888,0.97055,0.82627,0.64892,0.60209,0.99341,0.0015842,0.0015842,0.0015842
23,1580.42,0.83921,0.58574,0.9905,0.9591,0.99803,0.97923,0.84569,0.68498,0.57608,1.00661,0.0015644,0.0015644,0.0015644
24,1667.43,0.8519,0.59213,1.04086,0.95542,0.97872,0.97462,0.80783,0.65554,0.59931,0.98407,0.0015446,0.0015446,0.0015446
