epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2711.25,0.7378,0.48657,0.98594,0.95773,1,0.97095,0.76591,0.80636,0.56834,1.10709,0.0011684,0.0011684,0.0011684
44,2773.47,0.74765,0.46678,0.97098,0.95812,1,0.96969,0.77563,0.76703,0.50018,1.14872,0.0011486,0.0011486,0.0011486
45,2836.2,0.69313,0.45385,0.95599,0.95908,1,0.97249,0.79118,0.81399,0.48062,1.14028,0.0011288,0.0011288,0.0011288
46,2899.97,0.75636,0.47253,0.98834,0.9582,1,0.96964,0.81415,0.79087,0.46419,1.12117,0.001109,0.001109,0.001109
47,2958.33,0.6965,0.44086,0.95669,0.95791,1,0.96847,0.80243,0.6954,0.49781,1.08299,0.0010892,0.0010892,0.0010892
48,3020.55,0.69504,0.44241,0.95451,0.95917,0.99962,0.96847,0.84269,0.60834,0.41129,1.06197,0.0010694,0.0010694,0.0010694
49,3082.57,0.71693,0.4401,0.96912,0.95589,1,0.95439,0.82247,0.61198,0.42369,1.07088,0.0010496,0.0010496,0.0010496
50,3144.8,0.70493,0.42713,0.9541,0.9571,1,0.95541,0.77802,0.73926,0.47248,1.10402,0.0010298,0.0010298,0.0010298
51,3205.81,0.7435,0.44374,0.96195,0.95787,1,0.95439,0.81253,0.70539,0.41972,1.09315,0.00101,0.00101,0.00101
52,3270,0.6786,0.42777,0.96328,0.95809,1,0.95541,0.80807,0.65885,0.39236,1.08485,0.0009902,0.0009902,0.0009902
53,3328.01,0.70376,0.43376,0.97815,0.95776,1,0.95541,0.7905,0.69168,0.39215,1.08619,0.0009704,0.0009704,0.0009704
54,3385.62,0.69926,0.4262,0.96335,0.95782,1,0.96724,0.83277,0.63882,0.42386,1.05751,0.0009506,0.0009506,0.0009506
55,3442.32,0.76573,0.44504,1.00071,0.95741,1,0.95439,0.84926,0.58016,0.42131,0.96793,0.0009308,0.0009308,0.0009308
