epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.623,1.22305,2.83117,1.21463,0.00522,1,0.89272,0.66956,0.68778,2.91115,0.784,0.00024,0.00024,0.00024
2,209.74,1.06751,1.56648,1.06127,0.01018,0.93617,0.82955,0.54593,0.68459,3.05094,0.88189,0.00049505,0.00049505,0.00049505
3,304.872,1.05121,1.2875,1.05377,0.00976,1,0.90729,0.65382,0.72205,3.08963,0.90288,0.000744952,0.000744952,0.000744952
4,393.53,1.15689,1.25557,1.10761,0.92116,0.49738,0.84172,0.67901,0.88826,2.88347,0.97104,0.000989706,0.000989706,0.000989706
5,480.447,1.0174,1.15296,1.03113,0.95848,0.98238,0.96031,0.77709,0.82752,2.28054,1.00985,0.00122931,0.00122931,0.00122931
6,570.986,1.0351,1.05831,1.06381,0.95468,1,0.98052,0.74973,0.90458,1.68295,1.06297,0.00146377,0.00146377,0.00146377
7,660.662,1.01103,1.06263,1.07102,0.93589,0.78723,0.87868,0.7936,0.66242,1.69787,1.01477,0.00169308,0.00169308,0.00169308
8,750.737,1.01525,1.00484,1.1213,0.95524,0.90818,0.92492,0.75005,0.88638,1.63882,1.05172,0.0018614,0.0018614,0.0018614
